n_clusters,n_neighbors,assign_labels,Silhouette,Calinski_Harabasz,Davies_Bouldin,Min_Cluster_Size,Max_Cluster_Size,Cluster_Sizes
2,5,kmeans,0.37016984897627414,618.0992246171908,0.9773444062642156,441,869,"(441, 869)"
2,5,discretize,0.3651210487110846,621.9980357143234,0.9869321853824944,471,839,"(839, 471)"
2,10,kmeans,0.3655254090447238,623.6749247245544,0.9860711682987117,474,836,"(474, 836)"
2,10,discretize,0.3606358120196104,626.1501071570541,0.9974395471055504,515,795,"(795, 515)"
2,15,kmeans,0.3642895691163923,626.576733168629,0.9911298657531642,493,817,"(817, 493)"
2,15,discretize,0.3586006772084629,626.299409476915,0.9999714494409966,528,782,"(782, 528)"
2,20,kmeans,0.36456270804672253,626.9344791462999,0.9889919013619486,490,820,"(820, 490)"
2,20,discretize,0.36075115873066027,627.7666029800612,0.9967100924314304,519,791,"(791, 519)"
2,30,kmeans,0.36310084974098983,628.0384917088478,0.9919782938523538,503,807,"(807, 503)"
2,30,discretize,0.35959509782478116,627.4423285051004,0.9973676894144083,523,787,"(787, 523)"
2,50,kmeans,0.36207811753482555,628.5789227411042,0.9942181082230577,512,798,"(798, 512)"
2,50,discretize,0.3565796636071123,626.7635830806785,1.0035807547810087,545,765,"(765, 545)"
3,5,kmeans,0.33211646740159706,458.05619326559724,0.930267810919981,115,894,"(115, 301, 894)"
3,5,discretize,0.2992530851054884,478.56041713812164,1.0343961570119646,207,760,"(207, 343, 760)"
3,10,kmeans,0.3206011506713292,474.0050631603871,0.9615359157867275,160,857,"(293, 160, 857)"
3,10,discretize,0.2954312255307461,487.0965538020427,1.0637732877077026,255,727,"(255, 727, 328)"
3,15,kmeans,0.32365148642580016,469.70742584697865,0.9464708402222599,148,877,"(148, 285, 877)"
3,15,discretize,0.2999010105320455,494.80570591521285,1.0568044440044628,265,729,"(265, 729, 316)"
3,20,kmeans,0.32142562480588255,473.78763568226026,0.9571486202688838,160,865,"(865, 160, 285)"
3,20,discretize,0.29936625828579533,496.1584950834554,1.0618555002597239,272,722,"(272, 722, 316)"
3,30,kmeans,0.31307790270336666,492.07195037468324,1.0067496080037934,227,810,"(227, 810, 273)"
3,30,discretize,0.30070390946261855,499.33644859226064,1.06178769353997,283,721,"(283, 306, 721)"
3,50,kmeans,0.30770831728358944,501.06902454515944,1.0374099413269209,274,760,"(274, 760, 276)"
3,50,discretize,0.29583227024242126,500.1669130506652,1.0794804405917728,308,693,"(308, 693, 309)"
4,5,kmeans,0.2884774838987539,366.54172806050724,0.9338830986922776,16,594,"(594, 591, 109, 16)"
4,5,discretize,0.26058044445202533,400.0171892773119,1.0845863318531528,63,559,"(63, 509, 179, 559)"
4,10,kmeans,0.26724133715202497,404.6188983148422,1.0750586325663218,70,558,"(558, 155, 70, 527)"
4,10,discretize,0.2522569430116903,407.55232867055685,1.1411646321281685,99,530,"(99, 530, 192, 489)"
4,15,kmeans,0.2651457043548263,405.8960718183926,1.0853896215903691,76,550,"(550, 526, 158, 76)"
4,15,discretize,0.25009093527208504,407.84956606327336,1.1506835537158446,106,521,"(106, 192, 491, 521)"
4,20,kmeans,0.26223645867371087,409.35822130953534,1.1056120571916774,89,544,"(544, 514, 163, 89)"
4,20,discretize,0.24884308694214557,408.6705997907489,1.1580507925882024,112,521,"(112, 521, 191, 486)"
4,30,kmeans,0.2576302561353497,410.32330242691836,1.1250263510300575,101,538,"(101, 503, 168, 538)"
4,30,discretize,0.2413285993399635,406.53895646825123,1.1864115106667608,122,512,"(122, 512, 209, 467)"
4,50,kmeans,0.24947406327685523,409.1551114303208,1.1535094678915223,112,537,"(186, 537, 475, 112)"
4,50,discretize,0.22643784651945106,403.0466640040046,1.2408682553824608,161,488,"(161, 215, 446, 488)"
5,5,kmeans,0.24773749169253384,335.7647767648562,1.0526626357331081,13,612,"(271, 345, 13, 69, 612)"
5,5,discretize,0.23182566548815128,343.54110232421476,1.1494424843904754,28,549,"(28, 549, 98, 281, 354)"
5,10,kmeans,0.2383202856997489,349.0451438338661,1.1486822677857105,33,574,"(279, 33, 336, 88, 574)"
5,10,discretize,0.21663325444009596,346.5487157471714,1.2550787495130897,60,526,"(60, 344, 526, 265, 115)"
5,15,kmeans,0.23581874076290732,350.9224108268875,1.1669987890673834,40,574,"(574, 86, 284, 40, 326)"
5,15,discretize,0.21169536822093762,346.86710213389733,1.2706056084763433,65,508,"(65, 508, 116, 281, 340)"
5,20,kmeans,0.223827171580484,352.2449268942373,1.2280426001376499,61,547,"(278, 61, 333, 91, 547)"
5,20,discretize,0.2057465799613185,347.96706442944844,1.3061048315161217,80,494,"(80, 118, 289, 329, 494)"
5,30,kmeans,0.21457158152927475,353.0286932296722,1.268307384240681,75,504,"(93, 504, 320, 318, 75)"
5,30,discretize,0.1979730391139453,347.6896259802682,1.3449187302514691,95,457,"(95, 457, 120, 318, 320)"
5,50,kmeans,0.20165938917921936,349.40218361055156,1.3296990961060877,93,465,"(317, 325, 465, 110, 93)"
5,50,discretize,0.18471575683920943,342.6829037094037,1.3933445569216478,107,421,"(107, 140, 333, 421, 309)"
