Método_A,Método_B,Adjusted_Rand_Index,Normalized_Mutual_Info
GMM,Jerárquico,0.4144571864893738,0.25866006352682935
GMM,Espectral,0.1819340000886472,0.11500952891203133
Jerárquico,Espectral,0.5737395299203919,0.5364596045602977
